"wald"	"sigma2"	"eff"
"V3"	11765.8636638483	0.708689092903058	-0.0405175639067817
"V4"	3965.4974879807	0.709052409343298	0.029080099346478
"V5"	343.27736029946	0.70928681666363	-0.00963675839313574
"V6"	933.449012468841	0.709240546202053	0.0165188689787187
"V7"	1906.64571106885	0.709168824846043	0.023137738170238
"V8"	19071.0122973408	0.7080031892517	-0.066924890851403
"V9"	722.8036726519	0.709242580640077	-0.018238794752767
"V10"	811.578777838066	0.709219643270749	-0.0228881316132572
"V11"	32.7594796783575	0.709307378539134	-0.00587531379273789
"V12"	23.506023437265	0.70930883729758	-0.00481548400190006
"V13"	786.639312043443	0.709174401776338	0.0346200948748344
"V14"	1172.19222936805	0.709099923748534	0.0436993897204014
"V15"	904.871391524413	0.709155348881762	0.0367449335600805
"V16"	1557.0467923393	0.709039992258353	0.0486275352735785
"V17"	9.6052160006935	0.709310150563516	-0.00454673775877264
"V18"	511.725797272101	0.709205978986597	-0.0330824781871061
"V19"	198.634146839925	0.709269279944116	-0.021438728796381
"V20"	246.393145969973	0.70925878690729	-0.0239610061630246
"V21"	446.475995982086	0.70921552624804	-0.0322321829420425
"V22"	499.150333550905	0.709204107762012	-0.0340870770858495
"V23"	566.354592405721	0.709191126908483	-0.0358462603578966
"V24"	589.674033842966	0.709187270626851	-0.0362499068880433
"V25"	1847.25385847371	0.709052422759284	0.0426048453776084
"V26"	190.444989478416	0.709276060489378	0.0184316405158414
"V27"	253.969312589845	0.70926432990986	0.0211492387748501
"V28"	498.831655649943	0.709220264258143	0.0289983374854568
"V29"	0.728880882022205	0.709312033907929	-0.000958299224704707
"V30"	4053.54869543827	0.708481653224392	0.0920396119964176
"V31"	2807.41209552454	0.708589909309128	0.0961650008377737
"V32"	2704.45620693453	0.708594159775684	0.0974011578757547
"V33"	2784.0721261443	0.708576675814619	0.0983384761002227
"V34"	2281.28402173963	0.708715664116148	0.0880889822572463
"V35"	2133.96874436305	0.708844663357045	0.071368609877801
"V36"	2211.92289073105	0.708723543431093	0.0882767602073366
"V37"	1933.34974869657	0.708864314074225	0.0718263397252179
"V38"	1770.4577055032	0.708843050666389	0.0786239907842545
"V39"	93.3959716715797	0.709288248823444	0.0174307264614396
"V40"	108.822593913738	0.709283934486019	0.0190630051331801
"V41"	3797.77270721052	0.708313030550505	0.114422341794506
"V42"	3739.46842696301	0.708313845790195	0.115216683626286
"V43"	3628.32130894771	0.708350941763347	0.11261578611442
"V44"	647.032731390733	0.709140870720883	0.0474670572973418
"V45"	353.516999599696	0.709218901972365	0.0349572543518085
"V46"	404.403518349243	0.709205653553207	0.037328331853664
"V47"	276.903619445559	0.709238452526765	0.0312161339146471
"V48"	130.875115273032	0.709273520097639	0.023799312158444
"V49"	450.890387210773	0.709184133267013	0.0424967150245088
"V50"	196.17234089716	0.709255699953468	0.0284070201991918
"V51"	210.270753055755	0.709251438585574	0.0295096318257993
"V52"	234.319892312497	0.709246954702926	0.030019075446406
"V53"	1176.93512047424	0.709011806270451	0.061726545204487
"V54"	229.488021325406	0.709245944232209	0.0308036413540313
"V55"	144.621286160862	0.709270481000498	0.0244212653052438
"V56"	195.53876939052	0.709256312650407	0.0281441569667941
